Meses,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
1,Nacional,1269,1416,1240,10514,3510,3471,10600,9600,4830,28132,22438,1604,98624
2,Extranjero,372,379,356,860,1349,1628,1501,1347,497,1467,898,24,10678,
3,Total 04,1641,1795,1596,11374,4859,5099,12101,10947,5327,29599,23336,1628,109302
4,Nacional,1491,1534,4981,1331,2060,1514,13981,11981,3215,30101,27642,7214,107045
5,Extranjero,420,327,553,535,884,969,2784,2609,943,1312,489,472,12297
6,Total 05,1911,1861,5534,1866,2944,2483,16765,14590,4158,31413,28131,7686,119342
7,Nacional,2318,2347,1903,6138,3888,2994,10933,9488,6802,14387,10799,4474,76471
8,Extranjero,139,39,58,4053,2346,1771,9744,7871,5088,20597,15543,5640,72889
9,Total 06,2457,2386,1961,10191,6234,4765,20677,17359,11890,34984,26342,10114,149360
10,Nacional,2839,3104,1715,11684,4561,4294,11106,12344,6708,21710,26266,4869,111200
11,Extranjero,502,536,869,1296,2130,2942,4424,4653,2221,10112,3114,983,33782
12,Total 07,3341,3640,2584,12980,6691,7236,15530,16997,8929,31822,29380,5852,144982
13,Nacional,3523,2781,5407,1677,6361,3626,15301,10500,2885,14099,15495,3277,84932
14,Extranjero,736,656,901,885,1892,2884,4987,4371,2664,2228,1176,618,23998
15,Total 08,4259,3437,6308,2562,8253,6510,20288,14871,5549,16327,16671,3895,108930
16,Nacional,3410,1819,1026,6800,2896,2906,16396,6829,4385,7851,8810,3150,66278
17,Extranjero,961,605,906,1344,2050,3933,6043,6048,3847,2564,1537,1233,31071
18,Total 09,4371,2424,1932,8144,4946,6839,22439,12877,8232,10415,10347,4383,97349
19,Nacional,4092,3099,2206,8619,5054,3522,15721,10053,5236,10323,10167,1760,79852
20,Extranjero,1430,1114,1266,1780,2787,3280,6674,5797,3178,2445,1505,811,32067
21,Total 10,5522,4213,3472,10399,7841,6802,22395,15850,8414,12768,11672,2571,111919
22,Nacional,4356,3623,2199,10865,4657,3947,18873,13014,5858,12087,9894,4262,93635
23,Extranjero,1377,1156,1243,1917,3026,4438,6574,5413,3369,2163,1406,1103,33185
24,15725737,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0
25,15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
26,15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
28,15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
34,15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0
35,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
